#node1	node2
Uqcrq	Uqcr11
Mrpl38	Mrpl9
Mrpl16	Mrpl11
Mrpl11	Mrpl2
Ndufv3	Ndufs4
Mrps9	Mrps22
Mrpl13	Mrpl11
Mrps2	Mrps33
Atp5j	Atp5g3
Dap3	Mrps5
Mrpl16	Mrpl40
Mrpl15	Mrpl38
Mrps31	Mrps5
Ndufa9	Uqcrfs1
Ndufs8	Cyc1
Mrpl35	Mrps18a
Mrps26	Mrps31
Pmpca	Pmpcb
Mrps11	Mrps18c
Mrpl17	Mrpl47
Mapk1	Mapk3
Mrpl15	Mrpl40
Mrpl15	Mrpl28
Mrps10	Mrps5
Uqcrh	Uqcrc2
Mrpl15	Mrpl3
Mrpl20	Mrpl21
Mrps2	Mrps11
Atp5g1	Atp5j
Mrpl24	Mrpl38
Mrpl19	Mrpl14
Mrpl24	Mrpl44
Mrpl15	Mrpl20
Ndufs8	Ndufb8
Mrps7	Mrpl2
Ndufs8	Uqcrq
Mrpl46	Mrpl9
Mrpl15	Mrpl11
Mrps9	Mrps31
Uqcrh	Uqcrc1
Bcl2l1	Bid
Mrpl17	Mrpl28
Mrpl38	Mrpl4
Mrpl17	Mrpl9
Mrpl19	Mrpl28
Mrps31	Mrps18b
Mrps7	Mrps2
Mrpl13	Mrpl15
Mrpl3	Mrpl4
Mrpl11	Mrpl40
Mrpl38	Mrpl3
Mrps2	Mrps5
Ptcd3	Mrps11
Mrpl13	Mrpl44
Mrpl16	Mrpl19
Ndufv3	Ndufv1
Mrpl13	Mrpl2
Ptcd3	Mrps5
Mrps26	Mrps22
